time: 0 secds
,0,1,2,3,4,5,6,7,8,9
1,308.36435625002633,152.223644602973,133.4674944669411,131.74417042617182,131.55597084888353,131.60749295741354,133.2894315016371,149.94406258064575,258.9041164489124,281.48436104992066,
2,308.27701309009444,151.51490383006913,132.80707941304996,131.19965724688657,131.1048550265936,131.22932789739656,132.9889514250976,149.93769936162641,260.7667634465921,285.21646407432655,
3,308.36465654643814,152.22614229069669,133.46940161950357,131.7454475814434,131.55686749154114,131.60869891193158,133.3003531977723,150.07696206675564,260.03030525232157,283.5226887216034,
4,316.45304761368783,315.59119313838306,315.648756830552,315.79921183124117,315.9201759879238,316.0113224855488,316.05692981525414,315.7868194795119,313.2906689579032,309.507296663929,

time: 13 secds
,0,1,2,3,4,5,6,7,8,9
0,316.3815565253334,314.43662678505734,314.5419004324754,314.88252086929265,315.16032617542436,315.3627561287897,315.35880129434855,313.69714849772095,301.97314186594485,285.2947700373469,
1,307.1760598409679,145.25702150541824,124.60846294024222,122.5644621834656,122.33604655443712,122.4121796127431,124.36812431279412,142.1790677099019,251.43345914260877,275.3814114886619,
2,307.06629882056484,144.4679199295165,123.86542132355625,121.95014156424246,121.82688326902517,121.98566568380356,124.03182960341448,142.17128405826605,253.2777903756352,278.80001921108374,
3,307.1764813762393,145.26009845389814,124.61085052032975,122.56606792222851,122.33718264606621,122.41378695141762,124.38184914825496,142.32938604865413,252.58113460561438,277.2799620688246,
4,316.4405603319136,315.4646414611922,315.51808841593623,315.68934390133654,315.8290206162349,315.93404733570424,315.9832513441567,315.6692086414106,313.03050317643937,309.22173658270515,

time: 14 secds
,0,1,2,3,4,5,6,7,8,9
0,316.3531977378615,314.17842763631194,314.27066676928376,314.6529583875678,314.9693200606789,315.19771748758404,315.1745637250971,313.28773897372776,301.0776435343893,284.3518515543911,
1,305.94570516491575,138.8886268281105,116.42504889710658,114.04774587505935,113.77534372642927,113.87937281227485,116.10884206930069,134.94275041310624,244.02536365244526,269.1308349055813,
2,305.8105965847236,138.02034722328293,115.59955816646004,113.36336460578661,113.20785802842524,113.4043718631367,115.73691601346468,134.92995042866164,245.80553585535742,272.1566457147998,
3,305.9462789195996,138.89234162182308,116.42797522505413,114.04972281696149,113.77675401024139,113.8814534282774,116.12557688973484,135.10904124615126,245.17316968028524,270.85244375223886,
4,316.42630126633316,315.3347086829226,315.3817636900396,315.57408154729006,315.73328365809294,315.8527316165669,315.9050399172063,315.54623356817876,312.7763757444392,308.9460321865862,

time: 15 secds
,0,1,2,3,4,5,6,7,8,9
