time: 0 secds
,0,1,2,3,4,5,6,7,8,9
0,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
1,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
2,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
3,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
4,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,

time: 1 secds
,0,1,2,3,4,5,6,7,8,9
0,316.5,316.5,316.5,316.50000000000006,316.5,316.5,316.5,316.50000000000006,316.5,309.54299999999995,
1,321.3904226004996,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810436,294.0855630810435,294.0855630810435,320.45624999999995,315.07030000000003,
2,321.3904226004996,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810436,294.0855630810435,294.0855630810435,320.45624999999995,316.16360000000003,
3,321.3904226004996,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810436,294.0855630810435,294.0855630810435,320.45624999999995,315.659,
4,316.5,316.5,316.5,316.49999999999994,316.5,316.5,316.50000000000006,316.5,316.5,315.02825,

time: 2 secds
,0,1,2,3,4,5,6,7,8,9
0,316.5110743007017,316.4583632249007,316.4671018073289,316.47335246393646,316.4779772429227,316.4814947666225,316.4842322271814,316.486404318335,315.5659270019121,304.7799921871994,
1,326.1343841140819,274.0209547618784,273.27495908905087,273.27183376074714,273.26952137125403,273.2677626094041,273.2663938791247,274.05659724952534,320.3809676899514,315.07422162067843,
2,326.14545841478366,274.0001363743287,273.25850999271535,273.25850999271535,273.2585099927154,273.2585099927154,273.25850999271535,274.0497994086928,320.53398156590737,316.9370285257986,
3,326.1343841140819,274.0209547618784,273.27495908905087,273.27183376074714,273.26952137125403,273.2677626094041,273.2663938791247,274.05659724952534,320.46081012745134,316.0734141100192,
4,316.50553715035085,316.47918161245036,316.4835509036645,316.48667623196815,316.4889886214614,316.4907473833113,316.4921161135908,316.4932021591674,316.30512896970606,313.98717032490407,

time: 3 secds
,0,1,2,3,4,5,6,7,8,9
0,316.53266254794545,316.38123270916725,316.40365973681156,316.4219607321546,316.43550247432495,316.44580270275446,316.45381907967595,316.43298723738724,314.2313959775028,301.27986705715784,
1,330.7492891013748,256.0467551581947,253.97370831808604,253.94449080754097,253.93788620973947,253.93286224054782,253.95275876017354,256.0288074083757,317.78301807379336,315.05328160222695,
2,330.78200475299246,255.98905426717943,253.9267393207412,253.90643851901254,253.90643349793288,253.90643031788048,253.93023495358614,256.0143941135158,318.15486825686025,317.5235481938076,
3,330.7492765625673,256.04677449418165,253.97372038944752,253.94449872756124,253.93789161921984,253.93286606000206,253.9527615331928,256.03120525424765,317.9791089820739,316.3727655465929,
4,316.5163375433765,316.44059701859663,316.4518177970443,316.4609724460569,316.4677458276821,316.4728975319231,316.47690676681884,316.4746582633404,316.0195913683475,313.2014731178634,

time: 4 secds
,0,1,2,3,4,5,6,7,8,9
0,316.56427096336944,316.27395948442984,316.3119758539107,316.34759226532304,316.3740344544323,316.39414831370937,316.4090017065114,316.3308686778653,312.7626733226324,298.54029652812187,
1,335.25063053439595,239.9347635733692,236.0889749975223,235.99793563115094,235.98479757110937,235.97594581482423,236.0517805258774,239.7102606188642,313.5462140819599,314.36423354441285,
2,335.31512424715055,239.8280577096088,235.99959983302122,235.92546304760413,235.9248854984908,235.92559190385361,236.00902710401098,239.68992635013194,314.16145325965357,317.3384542383626,
3,335.2505811371217,239.9348355518919,236.08902160945377,235.99796620840198,235.9848184534051,235.9759605578682,236.05186330855025,239.71824495416783,313.87421232771493,315.94703830593977,
4,316.5321601218647,316.3869062060811,316.40594045127494,316.423764989809,316.43699595916513,316.4470591417416,316.454735656249,316.442734895319,315.697465954285,312.5727260711605,

time: 5 secds
,0,1,2,3,4,5,6,7,8,9
0,316.60546454828335,316.1412081343019,316.1942796654863,316.2518922045783,316.294927941819,316.3276453030802,316.34970872374464,316.17950784744954,311.28835382724515,296.28500040212117,
1,339.6522208744858,225.4839468162024,219.53047520041807,219.33445626163189,219.31198163949242,219.29990872350785,219.47086851280002,224.8706260746964,308.20834761911044,312.779675886379,
2,339.7582652448263,225.31937528403398,219.38879647030154,219.21940022260347,219.21685073523145,219.21995081326426,219.40338654274265,224.84696027825333,309.06969706732224,316.17017972469324,
3,339.6520991607902,225.4841143901939,219.5305876036344,219.3345300626574,219.31203203519914,219.29994647553482,219.47119729136833,224.88745576569707,308.6727546036814,314.57912988798455,
4,316.5527928364465,316.32042916243574,316.34702322065993,316.37586954927934,316.3974116987805,316.41379316668525,316.4258804486747,316.3974383510781,315.3660469316091,312.0446791727057,

time: 6 secds
,0,1,2,3,4,5,6,7,8,9
0,316.65586026633304,315.9870476736441,316.0527136526014,316.13639481981136,316.19944053669496,316.2472972141726,316.27582255419554,315.9821125805576,309.8667165344879,294.3576831562444,
1,343.96639306794674,212.51694743427063,204.2111307348737,203.8635079826643,203.82822483522554,203.8146680229746,204.11975243086403,211.32285153554153,302.1121821767144,310.27732066560753,
2,344.12345367681553,212.2883425176768,204.00904754739415,203.69906835501078,203.69223573259978,203.7003742039994,204.02401610366718,211.29852829187976,303.2088055161259,313.99671558452053,
3,343.96615298536483,212.51725973317414,204.21134743448133,203.86365051544033,203.8283222231734,203.81474776573563,204.12057282532766,211.35151443645717,302.71044238755945,312.24844495623813,
4,316.57804928529356,316.2431908182894,316.27612783410757,316.3180468412459,316.34961769323246,316.37361479948146,316.39058590447627,316.33953148456055,315.0384333053458,311.58439590118013,

time: 7 secds
,0,1,2,3,4,5,6,7,8,9
0,316.7151210741451,315.8150298763967,315.8893234593277,316.0025332357598,316.08873894019206,316.15400560944425,316.1872934812193,315.7433348944065,308.5206326264902,292.66641578956273,
1,348.20417562662976,200.87707057629063,190.04752080885757,189.50108903518637,189.44887201810494,189.4365213641258,189.91168039512408,198.91179113367798,295.48767860184176,306.9297745041865,
2,348.42146032980185,200.58048173880113,189.77854339852968,189.28167956274822,189.26738062115444,189.28400918340034,189.78500802854103,198.88912076836604,296.7990004953848,310.886954682745,
3,348.2037609873122,200.8775801362976,190.047886146604,189.50132995140652,189.4490369038513,189.43667037916634,189.91329951522516,198.95482887804036,296.21210183696286,309.0268163130483,
4,316.6077657716765,316.1569597891665,316.19426849329506,316.2510074564224,316.2941939219962,316.32699671464985,316.3490880958589,316.2700757965589,314.7203014780565,311.1719597866018,

time: 8 secds
,0,1,2,3,4,5,6,7,8,9
0,316.7829506875891,315.62825685801806,315.7060517680184,315.85164776115136,315.96390486850436,316.0485808557815,316.084178752727,315.4681452186077,307.2555876672217,291.15436440588246,
1,352.37544535463286,190.4256804518356,176.96017366602516,176.1691942604369,176.09535287790357,176.08761096321905,176.76410230768627,187.506801128188,288.49721115820614,302.84772773304627,
2,352.66194688609323,190.05897642913024,176.6192474653992,175.89030793399326,175.86459787924176,175.8937551807411,176.604529008456,187.48746013356538,289.9950789003009,306.9483575543705,
3,352.374790221806,190.42644101908692,176.96073652318825,176.16956664025005,176.09560847877685,176.0878655190011,176.76686769878256,187.56621341161716,289.3360863462507,305.02411008973536,
4,316.64179872401377,316.063281807728,316.10240879816934,316.1754160156843,316.231678855104,316.27437268180955,316.30162394512774,316.19020069463335,314.4135335941065,310.7948377369083,

time: 9 secds
,0,1,2,3,4,5,6,7,8,9
0,316.8590889870195,315.4294394494363,315.504735070416,315.68499308712404,315.82594071021134,315.93175317771045,315.9666463031425,315.16130992255614,306.0689253327098,289.78429715190987,
1,356.4890607676959,181.03994770970587,164.87373251127158,163.79533305135786,163.69473820499158,163.6954642967993,164.59902732274804,176.99666687393173,281.2608006528163,298.15140187206123,
2,356.8535936091386,180.60248387712124,164.4570732309874,163.45342040950894,163.4117397667013,163.45781211856894,164.40518491728537,176.98153146213025,282.9110702207576,302.29978828808476,
3,356.4880897796601,181.0410125116363,164.87454513691534,163.7958727636208,163.69511019838836,163.69586962423205,164.60330573956134,177.07386087738624,282.199225842002,300.3604608462071,
4,316.68002243079474,315.9635086054497,316.0014601088414,316.09189476971875,316.16257241816953,316.216141122089,316.24843360488364,316.1009931114484,314.1181485015683,310.4447754308813,

time: 10 secds
,0,1,2,3,4,5,6,7,8,9
0,316.9433079782907,315.2209476715479,315.2871026914985,315.50374457013004,315.6757749481188,315.80418295122,315.83496309734824,314.8271738315337,304.95453540087794,288.53031086487397,
1,360.5529788145766,172.6108978093032,153.71702357690515,152.3121007409927,152.17932628051528,152.1925926033653,153.34316973923762,167.28595156307665,273.8705033787935,292.9568456009656,
2,361.004211142369,172.10323827448462,153.2219641580635,151.9044597656728,151.84179478760112,151.90928575366908,153.11417647964436,167.27500297902583,275.63441614500965,297.05794562716585,
3,360.5516074549345,172.61231820775072,153.71814054146043,152.31284587245972,152.17984258645714,152.19320224542489,153.34932710756277,167.38172228018928,274.8911073276219,295.1526882871185,
4,316.7223270493768,315.85882289023937,315.8922810258049,316.0010267465717,316.08733877346197,316.15266842125817,316.1897596032676,316.00345003533187,313.8333183192585,310.1160722530685,

time: 11 secds
,0,1,2,3,4,5,6,7,8,9
0,317.0354082378119,315.0048544262208,315.05477754445286,315.3090037718268,315.51426734076927,315.6664698599217,315.68947800439156,314.4695936058498,303.9051846986612,287.3733522523734,
1,364.574357137719,165.04171786563703,143.42304887420812,141.65679473691475,141.48625872107414,141.51613417520076,142.92795501944764,158.29225201334467,266.39886909892437,287.36994443484156,
2,365.1208385388747,164.4654034598433,142.84789866094187,141.1814712045997,141.0925126176145,141.1858373234984,142.66331620115807,158.28453726199137,268.23431120300194,291.33106720665245,
3,364.57249195924913,165.0435423205665,143.42452614494704,141.65778508403352,141.48694929622965,141.51700882567135,142.93633834816416,158.40678631590254,267.48246773057195,289.5081874311909,
4,316.7686168533107,315.75025997117905,315.7756777303945,315.90335853050186,316.00640892268905,316.0842919349425,316.12584475489587,315.89846318743,313.55789404536836,309.8046101764189,

time: 12 secds
,0,1,2,3,4,5,6,7,8,9
0,317.13521577972654,314.78297335603236,314.80927819505274,315.10180339342327,315.3422138517163,315.51916084562424,315.5306039305416,314.0919428209816,302.91363494936684,286.2987428596964,
